,city,brand,model,production_year,ban_type,color,engine,mileage,gear_box,traction,new,the_situation,market,price,seller,seller_comment,img_url,seats,owners
0,Sumqayıt,Toyota,Corolla,2016,Universal,Qəhvəyi,1.5 L/109 a.g./Hibrid,91 325 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",Yaponiya,23 800 AZN,"Avtosalon ""001""","ÖLKƏYƏ YENİ GƏLİB TƏZƏ KİMİDİ. TAM BEZKRASQA. HİBRİT 1.5 MATOR
YANACAQ SƏRFİYYAT 3.5 litir
SUPER VƏZİYYƏTDƏDİR.
ORGİNAL PRABEKT HARDA İSDSƏNİZ YOXLADA BİLƏRSİNİZ.
COX EKONOM VƏ DÖZÜMLÜ MAŞINDI.
Mühərrikin tip: benzinlə, Hibrit Həcm: 1.5l Körpü: ön, Qapılar: 4/5, Oturacaqların sayı: 4-5, Kuzovun rəngi : Qəhvəyi
Qutu-ötürücü: avtomat, Sükan hidrogücləndirici, ABS, ESP, təhlükəsizlik balışları: 4 / 8mərkəzi kilid, siqnalizasiya, immobilayzer, Elektrik şüşələr, kondisioner, klimat-kontrol: birbölməli, Material: ,Kodirvnı Salonun rəngi Qsra Kamdirivın naviqasiya, bortkompüter,
————————————————
Salonumuzda BARTER VE KREDIT Şərtləri Mümkündür. İlkin ödenişin 45-50% - ni ödəməklə
Avto kredit şirketində avto kredit və
Avto lizinq vasitesile əldə edə bilərsiz
Minumum 6 aydan 36 ayadək.
Lizinqde illik faiz 16% dir
Avto kreditde isə 30% dir
—————————————————
Kreditləşmə ücün Lazım olan sənədlər:
1) Vöen.
2) Şəxsiyyət vəsiqəsi.
3) Prava.
—————————————————
UNVAN:Sumqayit Masin Bazarinin Girisi ..
__AVTOSALON 001 CARS___",https://turbo.azstatic.com/uploads/f660x496/2024%2F01%2F15%2F19%2F19%2F44%2F8298ff0e-5599-43b3-835a-f5587f4899db%2F3630_r_NCzVoeX45-agUAQi5iQQ.jpg,,
1,Bakı,Peugeot,Rifter,2022,Minivan,Ağ,1.6 L/92 a.g./Dizel,0 km,Mexaniki,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,41 000 AZN,Peugeot Azərbaycan,Texniki göstəricilər:,https://turbo.azstatic.com/uploads/f660x496/2024%2F02%2F10%2F10%2F55%2F27%2F6a7c1ed5-cb74-4138-8af7-197ecd12d6a7%2F3775_T3t8XHEUtGxPoJ7ny6EcNg.jpg,5,
2,Bakı,Geely,Okavango,2023,Offroader / SUV,Qara,1.5 L/190 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,51 900 AZN,Geely Azərbaycan,"RİCH Motors Geely avtomobillərin rəsmi idxalçısıdır.
-----
İllik 10% olmaqla 60 ay müddətinə qədər eksklüziv kredit şərtləri.
-----
KOMPLEKTASİYA:
- Unikal Hibrid (48V EMS)
- 3 sıra oturacaq (7 nəfərlik)
- Panorama Lyuk
- Təkərlərdəki hava təzyiqinə nəzarət sistemi
- Sürücü və ön sərnişin üçün ön, yan və pərdə tipli hava yastıqları (6 ədəd)
- ABS+EBD
- ESC (Elektron sabitləşdirmə sistemi)
- HBA (Əyləc assistenti)
- TCS (Dartı qüvvəsinə nəzarət)
- HDC (Enişə nəzarət sistemi)
- HAC (Yoxuşdan hərəkətə başlamaq üçün köməkçi sistem)
- EPB (Elektron dayanacaq əyləci)
- EPS (Sükan elektrogücləndiricisi)
- Autohold funksiyalı əyləclər
- 360 dərəcə görüntü kamerası
- Arxa parklanma sensorları
- 10,25” monitorlu və 8 dinamikli multimedia sistemi (Radio+USB+ Bluetooth, QD Link və MirrorLink)
- 4 USB çıxışı (2 ön və 2 arxa)
- Kruiz kontrol
- Sürücü oturacağın 6 istiqamətdə elektron tənzimlənməsi
- Ön sərnişin oturacağın 4 istiqamətdə elektron tənzimlənməsi
- Yük bölməsin düymə ilə açılıb bağlanması
- 3 zonalı klimat kontrol
- İsofix
- Elektron tənzimlənən və elektron qatlanan yan güzgülər
- Açarsız daxil olma (Keyless entry) və açarsız mühərriki işə salma (Start-Stop)
- Mühərrikin məsafədən işə salınması
- Dəri örtüklü multifunksional sükan
- Ekodəri örtüklü oturacaqlar
- 12,3” tam rəqəmsal cihazlar paneli
- Yağış sensoru
- İşıq sensoru
- LED: Arxa fənərlər, gündüz və duman işıqları
- Matrix LED Adaptiv faralar
- 18 düymlük yüngül xəlitəli disklər
- 225/55 R18 ölçülü şinlər",https://turbo.azstatic.com/uploads/f660x496/2023%2F04%2F04%2F09%2F10%2F28%2Fcf407bdf-2011-45c0-87a7-ab65c5f1f408%2F7433_Y4m7if_4r3r9pHmPmG3bCg.jpg,7,
3,Bakı,GAZ,Next А31R32,2023,Furqon,Boz,2.8 L/149 a.g./Dizel,0 km,Mexaniki,Arxa,Bəli,"Vuruğu yoxdur, rənglənməyib",,45 500 AZN,GAZ Distribütor,"Qazel Next Furqon 4x2 modelini nəğd və sərfəli lizinq şərtləri ilə satış mərkəzimizdən əldə edə bilərsininiz.
Zəmanət müddəti: 3 il və ya 200.000 km (hansı tez bitərsə)
Sərnişin tutumu: 2+1
Təkər formulu: 4x2 arxa
Yük götürmə həcmi: 13.5 m3
Yük götürmə qabilliyyəti: 1000 kq
Uzunluq: 6207 mm
Eni: 2066 mm
Hündürlük: 2753 mm
Kuzanın uzunluğu: 3631 mm
Kuzanın eni: 1860 mm
Kuzanın hündürlüyü: 1927
Tam çəki: 3500 kq
Təchiz edilmiş çəki: 2715 kq
Ön oxa düşən çəki: 1545 kq
Arxa oxa düşən çəki: 1955 kq
Təkər bazası: 3745 mm
Təkər izi ön: 1750 mm
Təkər izi arxa: 1560 mm
Klirens: 170 mm
Mühərrik növü: ISF 2.8
Yanacaq növü: Dizel
Emissiya standartı: AVRO V
Transmissiya növü: 5 pilləli mexaniki ötürücü
Mühərrik: 2800 m3
Maksimum at gücü: 150 a.g / 3200 RPM
Maksimum dartqı qüvvəsi: 330 / 3100 RPM
Ötürücü: Arxa
Maksimum sürət: 130 km/saat
Təkər / Şin (ölçüləri): 185/75R16C
Yanacaq çəni: 64 litr
Orta yanacaq sərfiyyatı: 8.5 litr/100km
Hidravlik sükan
Kruiz control
Mərkəzi kilid
12V rozetka
Güzgü qızdırıcılar
Ön qapı elektrikli şüşə qaldırıcısı
Bort komputer
Salon isitmə və soyutma sistemi
Lizinq şərtləri
İlkin ödəniş: 6825 AZN
60 AY - 1049 AZN
48 AY - 1214 AZN
36 AY - 1494 AZN
24 AY - 2063 AZN
12 AY -3788 AZN",https://turbo.azstatic.com/uploads/f660x496/2023%2F03%2F28%2F12%2F00%2F01%2Fca78b15b-cfc0-4ad9-be68-6665e1a7ff74%2F98150_rA1-Zc6TzaXicgAv-ZwNTg.jpg,,
4,Bakı,Porsche,Cayenne S,2011,Offroader / SUV,Ağ,4.8 L/400 a.g./Benzin,185 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",Avropa,26 000 USD,Taleh,"Təcili satılır.
Serviz maşınıdı hər zaman orada qulluq olunub.2ci sahibiyəm 7ildən çoxdu məndədi hər zaman qaraj şəraitdə saxlanılıb.
Maşın ideal veziyyətdədi.Mator,kabrobkada hec bir problem yoxdur.Təkər təzədi.Bu günə qədər bütün ehtiyyacı olan baxımları görülüb.
Barter olunur ancaq Ford mustang 2018-2019 modeli ilə.",https://turbo.azstatic.com/uploads/f660x496/2024%2F01%2F12%2F13%2F36%2F14%2F3bf2e5ea-45e4-4f86-a45e-4bd9742dfd11%2F3630_RaiBWyyuOHjC-suCaF_TWw.jpg,5,2
5,Bakı,BMW,528,2014,Sedan,Qara,2.0 L/245 a.g./Benzin,142 530 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",Amerika,20 400 USD,Tagi,"Her kese salam.2 ildi masin mendedi.Problemsiz masindi.Bilirem hami bele yazir amma hec bir problemi yoxdu.Qapilar plesosdu.On ve arxa buferler orginaldi.Amerikadan bu buferlerle gelib.Allah hamiya qismet elesin BMW G 30 almisham ona gore bunu satiram.
Masinin her bir seyi babekde olunur . Usta adi cekmirem Bilen bildi.Cuzi endirim olar..Maraqlananlar buyursun.Nomresiz satilir..",https://turbo.azstatic.com/uploads/f660x496/2024%2F02%2F10%2F16%2F56%2F09%2F49c19b3b-b0c5-4be3-a1f1-35c51c7bcbeb%2F56337_WifGCbg4Jd1Zz1h5M_jmKQ.jpg,5,2
6,Bakı,Kia,Ceed,2011,Universal,Narıncı,1.4 L/109 a.g./Benzin,230 000 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",,16 500 AZN,Rustam,"Avropada sürdüyüm avtomobildir Fevral ayında ölkəyə gətirmişəm
Katalizator ustunde
Kondisioner
Oturacaqlarin qizdiricilari
Səliqəli təmiz salon
Üstündə əlavə səyahət baqaji
4 ədəd yeni qish tekeri disk qarışıq (kolpaklari ile) ustunde verilir
4 yay tekeri disk qarishiq yeni alınıb
Soyuq havada xususi yeri var toka taxanda motoru isti saxlayir
Yaqi yeni deyishilib
Texpasport oz adimadir
Rəngi narinci ve albali metalik tonlar var zavod
Bu günə heç bir problemi yoxdur
Eytiyyac olduqda bütün xərclər yeni və original ilə əvəz olunub",https://turbo.azstatic.com/uploads/f660x496/2024%2F01%2F09%2F16%2F39%2F19%2F6a098630-cd69-4f48-8e56-6338cb96ae23%2F56333_Vz8kRBjj65SRoB_5lWiGIg.jpg,5,
7,Bakı,BMW,528,2014,Sedan,Göy,2.0 L/245 a.g./Benzin,166 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",Amerika,19 000 USD,Firuz,Avtomobil ideal vəziyyətdədir!Zavod M paket!!!,https://turbo.azstatic.com/uploads/f660x496/2024%2F02%2F06%2F15%2F27%2F09%2F33cbeb1d-8afc-4ca4-b11f-847b0acadf2a%2F3686_jWya0xl2ffRKgEvS1WEnpA.jpg,5,2
8,Bakı,ZEEKR,001,2023,Liftbek,Qara,0.0 L/544 a.g./Elektro,0 km,Avtomat,Arxa,Bəli,"Vuruğu yoxdur, rənglənməyib",Digər,61 400 USD,Roma,Avtomobil sinifinin en fulludu ponarama dam qaralir elektron olaraq.Avtomobil bakidadi,https://turbo.azstatic.com/uploads/f660x496/2024%2F02%2F09%2F14%2F26%2F54%2Ffd7e61ef-7c8d-4486-98a2-a59535ddcbd6%2F97892_0RI5Lt8mp9ipFWoBs6Sajg.jpg,,1
9,Bakı,Toyota,C-HR,2019,Offroader / SUV,Göy,2.0 L/148 a.g./Benzin,75 779 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",Amerika,39 000 AZN,Elvin,"Maşın ideal vəziyyətdədir, heç bir problemi yoxdur heç bir xərc tələb etmir istənilən yerdə yoxlatdıra bilərsiniz. Maşın alınan gündən 95 benzinlə sürülür necə lazımdır qulluq olunub. Alınan gündən 2-ci maşın kimi istifadə olunub. Monitor CarPlay dəstəkləyir. Real alıcılar narahat etsin.",https://turbo.azstatic.com/uploads/f660x496/2024%2F02%2F11%2F22%2F18%2F59%2Fcdc61cee-1980-457c-9204-33f451b5919a%2F3780_m7ddEiGlnp-pyci49MgySw.jpg,5,1
10,Bakı,Mercedes,Vito 111,2008,Minivan,Ağ,2.2 L/116 a.g./Dizel,249 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",,22 000 AZN,Samir,Tecili satilir. Butun xercleri nezere alinib. Kreditle de satişi mumkundu.,https://turbo.azstatic.com/uploads/f660x496/2024%2F02%2F01%2F20%2F02%2F00%2F121a3c43-2f84-40aa-b193-bb8717f3b14a%2F3814_P7_DmiPi7srGObZpfgm2cw.jpg,8+,
11,Bakı,Mercedes,Sprinter 515,2007,Yük maşını,Göy,2.2 L/150 a.g./Dizel,287 580 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib",,31 300 AZN,Kazbek,"646 mator qoşa turbo
Maşın Almanyadan yeni gelibdi. İdeal veziyyetdedir
Uzunluğu kuzanın 3.50
Hündürlüyü 2 m",https://turbo.azstatic.com/uploads/f660x496/2024%2F01%2F09%2F12%2F50%2F21%2F60adc550-2c0e-423d-abdb-363071a9b03d%2F3805_DrIIzOCKpj4QZ6-XyBCgUA.jpg,,0
12,Bakı,Mercedes,GL 350,2015,Offroader / SUV,Ağ,3.0 L/258 a.g./Dizel,155 000 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib",Amerika,42 000 USD,RESAD,Dizel!tam fuldu 360° kamera.teze tekerler Ideal veziyyetdedi hec bir xerc teleb etmir! Nomresiz satilir.original 63 amg yiqilib ve texpasportda qeyd edilib,https://turbo.azstatic.com/uploads/f660x496/2024%2F01%2F24%2F10%2F44%2F04%2Fbaa14891-8ddb-4930-90fb-82b865e8ee4c%2F3797_EaYLzNEd6E9ywfienZ2CXQ.jpg,7,1
13,Bakı,Mercedes,E 220,1998,Sedan,Göy,2.2 L/125 a.g./Dizel,421 000 km,Avtomat,Arxa,Xeyr,"Vuruğu var, rənglənməyib",,11 000 AZN,RƏŞAD,"1998 öz nömrəli motorudu 2,2cdi masin sürülən masindi monitor 360derece kamera park radar tekerleri almaniya her gün sürdüyüm masindi xercləri gelecekde garsilamag olar ekonom ve dözumlu masindi giyməti masina baxdigdan sora danisarig",https://turbo.azstatic.com/uploads/f660x496/2024%2F02%2F10%2F09%2F09%2F45%2F95ff0494-2375-401b-b9fd-dd124aa67f1c%2F3674_IzHwshfE_PkldN6BhcjCeQ.jpg,,0
14,Bakı,Kia,Optima,2016,Sedan,Göy,2.0 L/184 a.g./Hibrid,61 400 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənib",Amerika,17 900 USD,Nurlan,KİA OPTİMA HYBRİD FULL komplektasiya.,https://turbo.azstatic.com/uploads/f660x496/2024%2F02%2F05%2F13%2F11%2F57%2Ffc9cd069-2149-43e7-865b-84c1ae798652%2F3680_GKW1hSaWIu8SX2SROI2RaQ.jpg,5,1
15,Bakı,Honda,Accord,2021,Sedan,Qara,2.0 L/252 a.g./Benzin,33 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,34 000 USD,Kamal,"2021 ci ildə Honda rəsmi servisdən alınıb və yalnız servisdə qulluq olunur. Bütün qulluq keçmə tarixçəsi servisdə var. Yeni avtomobildən qətiyyən seçilmir. Heç bir problemi yoxdur .Bezkraskadır!!!
Daima qaraj şəraitində saxlanılır. Alan şəxs istənilən yerdə yoxlatdıra bilər . 2025 ci ilə qədər servisdə qarantiyadadır.",https://turbo.azstatic.com/uploads/f660x496/2023%2F10%2F30%2F16%2F33%2F04%2F8928dc46-1127-4795-a332-f3efaaa752f6%2F88118_EO0KAL494C1KGjzkESh7iQ.jpg,5,1
